 2023-11-27 23:44:17,042 - 'h'
 2023-11-27 23:44:17,247 - 'e'
 2023-11-27 23:44:17,374 - 'l'
 2023-11-27 23:44:17,527 - 'l'
 2023-11-27 23:44:17,717 - 'o'
 2023-11-27 23:44:17,924 - Key.space
 2023-11-27 23:44:18,063 - 'm'
 2023-11-27 23:44:18,138 - 'y'
 2023-11-27 23:44:18,265 - Key.space
 2023-11-27 23:44:18,407 - 'n'
 2023-11-27 23:44:18,487 - 'a'
 2023-11-27 23:44:18,604 - 'm'
 2023-11-27 23:44:18,718 - 'e'
 2023-11-27 23:44:18,807 - Key.space
 2023-11-27 23:44:19,000 - 'i'
 2023-11-27 23:44:19,127 - 's'
 2023-11-27 23:44:19,240 - Key.space
 2023-11-27 23:44:19,369 - 'a'
 2023-11-27 23:44:19,484 - 'b'
 2023-11-27 23:44:19,574 - 'd'
 2023-11-27 23:44:19,769 - 'u'
 2023-11-27 23:44:20,012 - 'l'
 2023-11-27 23:44:20,101 - 'r'
 2023-11-27 23:44:20,179 - 'a'
 2023-11-27 23:44:20,247 - 'h'
 2023-11-27 23:44:20,424 - 'm'
 2023-11-27 23:44:20,514 - 'a'
 2023-11-27 23:44:20,604 - 'n'
 2023-11-27 23:44:20,781 - Key.space
 2023-11-27 23:44:20,923 - 'a'
 2023-11-27 23:44:20,936 - 'n'
 2023-11-27 23:44:21,089 - 'd'
 2023-11-27 23:44:21,487 - Key.backspace
 2023-11-27 23:44:21,652 - Key.backspace
 2023-11-27 23:44:21,769 - Key.backspace
 2023-11-27 23:44:21,926 - 'n'
 2023-11-27 23:44:22,000 - 'a'
 2023-11-27 23:44:22,051 - 'd'
 2023-11-27 23:44:22,216 - 'e'
 2023-11-27 23:44:22,367 - 'e'
 2023-11-27 23:44:22,469 - 'm'
 2023-11-27 23:44:23,703 - 'h'
 2023-11-27 23:44:23,703 - 'u'
 2023-11-27 23:44:23,716 - 'e'
 2023-11-27 23:44:23,729 - 'i'
 2023-11-27 23:44:23,729 - 'r'
 2023-11-27 23:44:23,729 - 't'
 2023-11-27 23:44:24,587 - 'a'
 2023-11-27 23:44:24,627 - 'h'
 2023-11-27 23:44:24,627 - 'p'
 2023-11-27 23:44:24,627 - 'u'
 2023-11-27 23:44:24,642 - 'e'
 2023-11-27 23:44:24,642 - 'i'
 2023-11-27 23:44:24,654 - 't'
 2023-11-27 23:44:24,666 - 'r'
 2023-11-27 23:44:25,031 - 'a'
 2023-11-27 23:44:25,031 - 'h'
 2023-11-27 23:44:25,032 - 'u'
 2023-11-27 23:44:25,045 - 'p'
 2023-11-27 23:44:25,056 - 'r'
 2023-11-27 23:44:25,056 - 't'
 2023-11-27 23:44:25,057 - 'e'
 2023-11-27 23:44:25,057 - 'i'
 2023-11-27 23:44:25,337 - 'a'
 2023-11-27 23:44:25,363 - 'e'
 2023-11-27 23:44:25,375 - 'h'
 2023-11-27 23:44:25,375 - 'r'
 2023-11-27 23:44:25,548 - 'p'
 2023-11-27 23:44:25,548 - 'u'
 2023-11-27 23:44:25,548 - 't'
 2023-11-27 23:44:27,214 - Key.ctrl_l
 2023-11-27 23:44:27,329 - '\x03'
 2023-11-27 23:44:28,384 - Key.ctrl_l
 2023-11-27 23:44:28,525 - '\x03'
 2023-11-27 23:44:28,717 - '\x03'
 2023-11-27 23:44:28,907 - '\x03'
 2023-11-27 23:44:29,073 - '\x03'
 2023-11-27 23:44:29,238 - '\x03'
 2023-11-27 23:44:29,406 - '\x03'
 2023-11-28 00:10:54,030 - Key.shift
 2023-11-28 00:10:54,042 - Key.ctrl_l
 2023-11-28 00:10:54,259 - Key.esc
 2023-11-28 00:11:09,550 - Key.ctrl_l
 2023-11-28 00:11:09,641 - '\x16'
 2023-11-28 00:11:24,947 - 'u'
 2023-11-28 00:11:25,076 - 'n'
 2023-11-28 00:11:26,153 - 'u'
 2023-11-28 00:11:26,913 - 's'
 2023-11-28 00:11:27,258 - 'u'
 2023-11-28 00:11:27,361 - 'a'
 2023-11-28 00:11:27,476 - 'l'
 2023-11-28 00:11:27,823 - 'f'
 2023-11-28 00:11:27,887 - 'i'
 2023-11-28 00:11:28,091 - 'l'
 2023-11-28 00:11:28,179 - 'e'
 2023-11-28 00:11:28,296 - Key.enter
 2023-11-28 00:11:31,892 - Key.ctrl_l
 2023-11-28 00:11:32,094 - '\x03'
